Peptide ID,SMILES,logP,logD
9263,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)O)[H],2.996300000000005,-4.043962548102348
9277,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(N)=O)[H],2.8220000000000036,-0.7181252338386908
9278,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(N)=O)[H],2.8220000000000036,-0.7181252338386908
9279,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H]1CCCN1)C(N)=O)[H],2.701700000000001,2.701700000000001
9280,CCCCCCCCCCCCCCCC(=O)[N+](O=C(O)[C@H](CO)NC(=O)[C@@H]1CCCN1)[H],,
9281,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.7609000000000061,-1.7792252338386882
9282,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.787100000000006,-0.7530252338386885
9286,CCCCCCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.730100000000005,-1.8100252338386893
9288,CCCCCCCCCCCCCCCC(=O)[N+](C[C@@H](O)[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.730100000000005,-1.8100252338386893
9291,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.406000000000005,-1.1341252338386894
9292,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.7699000000000051,-1.7702252338386892
9294,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[H],3.558500000000004,0.01837476616130962
9295,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O)[H],2.2816000000000054,-1.3037103979701854
9296,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)NCC(N)=O)[H],1.947200000000004,-1.5929252338386903
9297,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.796100000000004,-0.7440252338386903
9298,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](CO)C(=O)O)[H],1.9074000000000044,-1.63272523383869
9299,CCCCCCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.796100000000004,-0.7440252338386903
9300,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[H],3.863400000000002,0.32313745189764953
9301,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)[H],4.039800000000004,0.4996747661613097
9302,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H]1CCCN1)C(N)=O)[H],2.7405000000000035,-0.7996252338386909
9303,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)O)[H],1.790500000000006,-4.849970069269713
9304,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O)[H],1.9687000000000066,-10.551563986184155
9305,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)O)[H],3.339800000000003,-3.70046254810235
9306,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O)[H],3.421300000000003,-3.61896254810235
9307,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O)[H],3.421300000000003,-3.61896254810235
9309,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.369400000000006,-7.650726671920497
9745,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)CNC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.6772000000000078,-6.403050467677381
9746,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.058600000000008,-8.561775701516076
10005,CCCCCCCCCCCCCCCC(=O)[N+](CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)C(C)C)[H],1.4008000000000058,-16.299826169193466
10361,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],1.6723999999999992,-12.488100935354778
10362,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)CNC(=O)[C@@H](N)CCCCN)C(=O)NCC(N)=O)[H],0.6772000000000096,-6.403050467677379
10401,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)O)[H],-2.2177000000000002,-8.818182149694684
10674,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CS)C(N)=O)[H],0.8878000000000013,-9.768859421006773
10675,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],0.5969999999999915,-15.503377139597902
10676,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CS)C(N)=O)[H],-0.5738000000000141,-16.710460859088595
10677,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CS)C(N)=O)[H],-0.5738000000000141,-16.710460859088595
10678,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],0.5969999999999898,-15.503377139597902
10679,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(N)=O)[H],-0.5738000000000145,-16.7104608590886
10680,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],0.5969999999999898,-15.503377139597902
10681,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(N)=O)[H],-0.5738000000000136,-16.710460859088595
11017,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],0.9832000000000036,-11.577051905759193
11018,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O)[H],-0.7482600000000108,-17.188264314245437
11033,CCCCCCCCCCCCCCCC(=O)[N+](C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],1.3837000000000073,-5.6965504676773815
11034,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)[H],2.409900000000007,-4.670350467677382
11035,CCCCCCCCCCCCCCCC(=O)[N+](NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(N)=O)[H],2.444800000000005,-4.635450467677384
11102,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],-0.8657600000000225,-17.305764314245447
11106,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],-0.4976300000000095,-11.457632876163625
11110,CCCCCCCCCCCCCCCC(=O)[N+](CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(N)=O)[H],0.5609399999999839,-10.399062876163631
11114,CCCCCCCCCCCCCCCC(=O)[N+](N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1)C(=O)N1CCC[C@H]1C(N)=O)[H],1.5949699999999911,-9.365032876163625
11150,,,
11151,,,
11155,,,
11156,,,
11157,,,
11179,,,
11182,,,
